AVG_RANK,AUCTION,NAME,TEAM,BYE,PPR_RANK,STD_RANK,PPR_POSRANK,STD_POSRANK,PPR_AUCTION,STD_AUCTION
141.0 , 1.0 , ARIZONA CARDINALSD/ST ,  , 4 , 140 , 142 , DEF5 , DEF5 , 1 , 1
143.5 , 0.5 , ANDREW HAWKINS , CLE , 4 , 122 , 165 , WR52 , WR55 , 1 , 0
144.0 , 1.0 , CINCINNATI BENGALSD/ST ,  , 4 , 145 , 143 , DEF6 , DEF6 , 1 , 1
145.5 , 1.0 , ST. LOUIS RAMSD/ST ,  , 4 , 147 , 144 , DEF7 , DEF7 , 1 , 1
146.0 , 0.5 , MARTELLUS BENNETT , CHI , 9 , 118 , 174 , TE11 , TE11 , 1 , 0
146.5 , 1.0 , KANSAS CITY CHIEFSD/ST ,  , 6 , 148 , 145 , DEF8 , DEF8 , 1 , 1
148.5 , 1.0 , NEW ENGLAND PATRIOTSD/ST ,  , 10 , 149 , 148 , DEF9 , DEF9 , 1 , 1
148.5 , 0.5 , STEVE JOHNSON , SF , 8 , 136 , 161 , WR57 , WR54 , 1 , 0
149.5 , 1.0 , BUFFALO BILLSD/ST ,  , 9 , 150 , 149 , DEF10 , DEF10 , 1 , 1
150.0 , 0.5 , CARLOS HYDE , SF , 8 , 179 , 121 , RB50 , RB50 , 0 , 1
151.0 , 1.0 , STEPHEN GOSTKOWSKI , NE , 10 , 151 , 151 , K1 , K1 , 1 , 1
151.5 , 0.5 , DOUG BALDWIN , SEA , 4 , 133 , 170 , WR56 , WR57 , 1 , 0
152.0 , 1.0 , JUSTIN TUCKER , BAL , 11 , 152 , 152 , K2 , K2 , 1 , 1
153.0 , 1.0 , CHRISTINE MICHAEL , SEA , 4 , 198 , 108 , RB54 , RB45 , 0 , 2
153.0 , 1.0 , MASON CROSBY , GB , 9 , 153 , 153 , K3 , K3 , 1 , 1
153.0 , 0.5 , BRANDON LAFELL , NE , 10 , 139 , 167 , WR59 , WR56 , 1 , 0
154.0 , 0.5 , CARSON PALMER , ARI , 4 , 146 , 162 , QB19 , QB19 , 1 , 0
154.0 , 0.5 , DELANIE WALKER , TEN , 9 , 124 , 184 , TE12 , TE12 , 1 , 0
154.0 , 1.0 , STEVEN HAUSCHKA , SEA , 4 , 154 , 154 , K4 , K4 , 1 , 1
155.0 , 1.0 , PHIL DAWSON , SF , 8 , 155 , 155 , K5 , K5 , 1 , 1
156.0 , 0.5 , C.J. ANDERSON , DEN , 4 , 186 , 126 , RB52 , RB53 , 0 , 1
156.0 , 1.0 , NICK NOVAK , SD , 10 , 156 , 156 , K6 , K6 , 1 , 1
157.0 , 1.0 , ADAM VINATIERI , IND , 10 , 157 , 157 , K7 , K7 , 1 , 1
158.0 , 1.0 , BLAIR WALSH , MIN , 10 , 158 , 158 , K8 , K8 , 1 , 1
159.0 , 1.0 , DAN BAILEY , DAL , 11 , 159 , 159 , K9 , K9 , 1 , 1
160.0 , 1.0 , NICK FOLK , NYJ , 11 , 160 , 160 , K10 , K10 , 1 , 1
162.5 , 0.5 , KNILE DAVIS , KC , 6 , 201 , 124 , RB55 , RB52 , 0 , 1
162.5 , 0.5 , CHARLES CLAY , MIA , 5 , 129 , 196 , TE13 , TE14 , 1 , 0
163.0 , 0.5 , BRIAN HARTLINE , MIA , 5 , 131 , 195 , WR55 , WR63 , 1 , 0
163.5 , 0.5 , JAMES STARKS , GB , 9 , 205 , 122 , RB56 , RB51 , 0 , 1
164.0 , 0.5 , ZACH ERTZ , PHI , 7 , 134 , 194 , TE14 , TE13 , 1 , 0
166.0 , 0.5 , JORDAN TODMAN , JAC , 11 , 182 , 150 , RB51 , RB59 , 0 , 1
166.5 , 0.5 , LEGARRETTE BLOUNT , PIT , 12 , 217 , 116 , RB60 , RB49 , 0 , 1
167.5 , 0.5 , JONATHAN STEWART , CAR , 12 , 206 , 129 , RB57 , RB56 , 0 , 1
168.0 , 0.5 , JERRICHO COTCHERY , CAR , 12 , 137 , 199 , WR58 , WR65 , 1 , 0
168.0 , 0.0 , JOSH MCCOWN , TB , 7 , 168 , 168 , QB20 , QB20 , 0 , 0
169.5 , 0.5 , DEVONTA FREEMAN , ATL , 9 , 209 , 130 , RB58 , RB57 , 0 , 1
170.0 , 0.0 , DENARIUS MOORE , OAK , 5 , 161 , 179 , WR61 , WR59 , 0 , 0
171.5 , 0.0 , DEXTER MCCLUSTER , TEN , 9 , 174 , 169 , RB49 , RB63 , 0 , 0
171.5 , 0.5 , MIKE WILLIAMS , BUF , 9 , 142 , 201 , WR60 , WR67 , 1 , 0
173.0 , 0.0 , JOE FLACCO , BAL , 11 , 173 , 173 , QB21 , QB21 , 0 , 0
173.5 , 0.5 , ANTONIO GATES , SD , 10 , 144 , 203 , TE15 , TE15 , 1 , 0
174.0 , 0.0 , KENNY STILLS , NO , 6 , 172 , 176 , WR66 , WR58 , 0 , 0
174.0 , 0.5 , ANDRE WILLIAMS , NYG , 8 , 220 , 128 , RB61 , RB55 , 0 , 1
177.5 , 0.0 , ROD STREATER , OAK , 5 , 170 , 185 , WR65 , WR60 , 0 , 0
178.0 , 0.0 , MARQISE LEE , JAC , 11 , 169 , 187 , WR64 , WR61 , 0 , 0
180.5 , 0.0 , AARON DOBSON , NE , 10 , 164 , 197 , WR62 , WR64 , 0 , 0
181.0 , 0.5 , AHMAD BRADSHAW , IND , 10 , 228 , 134 , RB63 , RB58 , 0 , 1
181.0 , 0.0 , RYAN TANNEHILL , MIA , 5 , 185 , 177 , QB22 , QB22 , 0 , 0
182.5 , 0.0 , KELVIN BENJAMIN , CAR , 12 , 165 , 200 , WR63 , WR66 , 0 , 0
183.0 , 0.0 , ODELL BECKHAM , NYG , 8 , 178 , 188 , WR68 , WR62 , 0 , 0
185.0 , 0.0 , MARCEL REECE , OAK , 5 , 195 , 175 , RB53 , RB66 , 0 , 0
186.5 , 0.0 , ALEX SMITH , KC , 6 , 193 , 180 , QB23 , QB23 , 0 , 0
187.5 , 0.0 , LADARIUS GREEN , SD , 10 , 163 , 212 , TE16 , TE16 , 0 , 0
189.5 , 0.0 , TAMPA BAY BUCCANEERSD/ST ,  , 7 , 190 , 189 , DEF11 , DEF11 , 0 , 0
191.0 , 0.0 , NEW ORLEANS SAINTSD/ST ,  , 6 , 192 , 190 , DEF12 , DEF12 , 0 , 0
191.0 , 0.0 , JOHNNY MANZIEL , CLE , 4 , 200 , 182 , QB24 , QB24 , 0 , 0
192.0 , 0.0 , COBY FLEENER , IND , 10 , 171 , 213 , TE18 , TE17 , 0 , 0
192.5 , 0.0 , ANDRE ROBERTS , WAS , 10 , 180 , 205 , WR69 , WR68 , 0 , 0
194.0 , 0.0 , LATAVIUS MURRAY , OAK , 5 , 225 , 163 , RB62 , RB60 , 0 , 0
197.5 , 0.0 , KENNY BRITT , STL , 4 , 189 , 206 , WR73 , WR69 , 0 , 0
197.5 , 0.0 , ERIC EBRON , DET , 9 , 177 , 218 , TE20 , TE18 , 0 , 0
199.0 , 0.0 , HARRY DOUGLAS , ATL , 9 , 175 , 223 , WR67 , WR74 , 0 , 0
199.0 , 0.0 , MIKE TOLBERT , CAR , 12 , 212 , 186 , RB59 , RB70 , 0 , 0
199.5 , 0.0 , ROBBIE GOULD , CHI , 9 , 208 , 191 , K11 , K11 , 0 , 0
199.5 , 0.0 , JEROME SIMPSON , MIN , 10 , 184 , 215 , WR71 , WR70 , 0 , 0
202.0 , 0.0 , HEATH MILLER , PIT , 12 , 166 , 238 , TE17 , TE19 , 0 , 0
202.5 , 0.0 , BRYCE BROWN , BUF , 9 , 239 , 166 , RB67 , RB62 , 0 , 0
203.0 , 0.0 , LANCE DUNBAR , DAL , 11 , 235 , 171 , RB66 , RB64 , 0 , 0
203.5 , 0.0 , MALCOM FLOYD , SD , 10 , 183 , 224 , WR70 , WR75 , 0 , 0
205.5 , 0.0 , TRE MASON , STL , 4 , 230 , 181 , RB64 , RB68 , 0 , 0
207.0 , 0.0 , JONATHAN DWYER , ARI , 4 , 242 , 172 , RB68 , RB65 , 0 , 0
207.5 , 0.0 , ROBERT WOODS , BUF , 9 , 196 , 219 , WR75 , WR71 , 0 , 0
209.5 , 0.0 , LANCE MOORE , PIT , 12 , 191 , 228 , WR74 , WR77 , 0 , 0
209.5 , 0.0 , DONNIE AVERY , KC , 6 , 187 , 232 , WR72 , WR80 , 0 , 0
210.0 , 0.0 , BENJARVUS GREEN-ELLIS , CIN , 4 , 256 , 164 , RB72 , RB61 , 0 , 0
211.5 , 0.0 , SHAYNE GRAHAM , NO , 6 , 231 , 192 , K12 , K12 , 0 , 0
213.5 , 0.0 , JORDAN MATTHEWS , PHI , 7 , 207 , 220 , WR78 , WR72 , 0 , 0
216.5 , 0.0 , MARVIN JONES , CIN , 4 , 202 , 231 , WR77 , WR79 , 0 , 0
218.5 , 0.0 , ROBERT TURBIN , SEA , 4 , 259 , 178 , RB73 , RB67 , 0 , 0
218.5 , 0.0 , ANDRE HOLMES , OAK , 5 , 216 , 221 , WR81 , WR73 , 0 , 0
219.0 , 0.0 , TYLER EIFERT , CIN , 4 , 176 , 262 , TE19 , TE21 , 0 , 0
219.0 , 0.0 , HOUSTON TEXANSD/ST ,  , 10 , 204 , 234 , DEF13 , DEF13 , 0 , 0
219.5 , 0.0 , DWAYNE ALLEN , IND , 10 , 194 , 245 , TE23 , TE20 , 0 , 0
220.0 , 0.0 , KENBRELL THOMPKINS , NE , 10 , 213 , 227 , WR79 , WR76 , 0 , 0
220.5 , 0.0 , JACQUIZZ RODGERS , ATL , 9 , 233 , 208 , RB65 , RB76 , 0 , 0
221.5 , 0.0 , BRANDON BOLDEN , NE , 10 , 250 , 193 , RB70 , RB71 , 0 , 0
222.0 , 0.0 , NATE WASHINGTON , TEN , 9 , 215 , 229 , WR80 , WR78 , 0 , 0
222.5 , 0.0 , TIMOTHY WRIGHT , NE , 10 , 181 , 264 , TE21 , TE22 , 0 , 0
222.5 , 0.0 , EJ MANUEL , BUF , 9 , 229 , 216 , QB25 , QB25 , 0 , 0
223.0 , 0.0 , JEREMY KERLEY , NYJ , 11 , 199 , 247 , WR76 , WR84 , 0 , 0
224.5 , 0.0 , CHRIS POLK , PHI , 7 , 266 , 183 , RB75 , RB69 , 0 , 0
225.5 , 0.0 , SHAUN DRAUGHN , CHI , 9 , 249 , 202 , RB69 , RB73 , 0 , 0
227.0 , 0.0 , SANTONIO HOLMES , CHI , 9 , 219 , 235 , WR82 , WR82 , 0 , 0
