RANK,PLAYER,TEAM,BYE,POSRANK,AUCTION
170,ROD STREATER,OAK,5,WR65,0
171,COBY FLEENER,IND,10,TE18,0
172,KENNY STILLS,NO,6,WR66,0
173,JOE FLACCO,BAL,11,QB21,0
174,DEXTER MCCLUSTER,TEN,9,RB49,0
175,HARRY DOUGLAS,ATL,9,WR67,0
176,TYLER EIFERT,CIN,4,TE19,0
177,ERIC EBRON,DET,9,TE20,0
178,ODELL BECKHAM,NYG,8,WR68,0
179,CARLOS HYDE,SF,8,RB50,0
180,ANDRE ROBERTS,WAS,10,WR69,0
181,TIMOTHY WRIGHT,NE,10,TE21,0
182,JORDAN TODMAN,JAC,11,RB51,0
183,MALCOM FLOYD,SD,10,WR70,0
184,JEROME SIMPSON,MIN,10,WR71,0
185,RYAN TANNEHILL,MIA,5,QB22,0
186,C.J. ANDERSON,DEN,4,RB52,0
187,DONNIE AVERY,KC,6,WR72,0
188,JARED COOK,STL,4,TE22,0
189,KENNY BRITT,STL,4,WR73,0
190,TAMPA BAY BUCCANEERSD/ST,,7,DEF11,0
191,LANCE MOORE,PIT,12,WR74,0
192,NEW ORLEANS SAINTSD/ST,,6,DEF12,0
193,ALEX SMITH,KC,6,QB23,0
194,DWAYNE ALLEN,IND,10,TE23,0
195,MARCEL REECE,OAK,5,RB53,0
196,ROBERT WOODS,BUF,9,WR75,0
197,GARRETT GRAHAM,HOU,10,TE24,0
198,CHRISTINE MICHAEL,SEA,4,RB54,0
199,JEREMY KERLEY,NYJ,11,WR76,0
200,JOHNNY MANZIEL,CLE,4,QB24,0
201,KNILE DAVIS,KC,6,RB55,0
202,MARVIN JONES,CIN,4,WR77,0
203,AUSTIN SEFERIAN-JENKINS,TB,7,TE25,0
204,HOUSTON TEXANSD/ST,,10,DEF13,0
205,JAMES STARKS,GB,9,RB56,0
206,JONATHAN STEWART,CAR,12,RB57,0
207,JORDAN MATTHEWS,PHI,7,WR78,0
208,ROBBIE GOULD,CHI,9,K11,0
209,DEVONTA FREEMAN,ATL,9,RB58,0
210,MYCHAL RIVERA,OAK,5,TE26,0
211,BALTIMORE RAVENSD/ST,,11,DEF14,0
212,MIKE TOLBERT,CAR,12,RB59,0
213,KENBRELL THOMPKINS,NE,10,WR79,0
214,JACE AMARO,NYJ,11,TE27,0
215,NATE WASHINGTON,TEN,9,WR80,0
216,ANDRE HOLMES,OAK,5,WR81,0
217,LEGARRETTE BLOUNT,PIT,12,RB60,0
218,ANDREW QUARLESS,GB,9,TE28,0
219,SANTONIO HOLMES,CHI,9,WR82,0
220,ANDRE WILLIAMS,NYG,8,RB61,0
221,CHRIS GIVENS,STL,4,WR83,0
222,TRAVIS KELCE,KC,6,TE29,0
223,JERMAINE KEARSE,SEA,4,WR84,0
224,OWEN DANIELS,BAL,11,TE30,0
225,LATAVIUS MURRAY,OAK,5,RB62,0
226,EDDIE ROYAL,SD,10,WR85,0
227,CLEVELAND BROWNSD/ST,,4,DEF15,0
228,AHMAD BRADSHAW,IND,10,RB63,0
229,EJ MANUEL,BUF,9,QB25,0
230,TRE MASON,STL,4,RB64,0
231,SHAYNE GRAHAM,NO,6,K12,0
232,MILES AUSTIN,CLE,4,WR86,0
233,JACQUIZZ RODGERS,ATL,9,RB65,0
234,MARLON BROWN,BAL,11,WR87,0
235,LANCE DUNBAR,DAL,11,RB66,0
236,GENO SMITH,NYJ,11,QB26,0
237,MATT BRYANT,ATL,9,K13,0
238,PITTSBURGH STEELERSD/ST,,12,DEF16,0
239,BRYCE BROWN,BUF,9,RB67,0
240,SCOTT CHANDLER,BUF,9,TE31,0
241,MOHAMED SANU,CIN,4,WR88,0
242,JONATHAN DWYER,ARI,4,RB68,0
243,JERMAINE GRESHAM,CIN,4,TE32,0
244,JARVIS LANDRY,MIA,5,WR89,0
245,ALEX HENERY,PHI,7,K14,0
246,COLE BEASLEY,DAL,11,WR90,0
247,NEW YORK GIANTSD/ST,,8,DEF17,0
248,JAKE LOCKER,TEN,9,QB27,0
249,SHAUN DRAUGHN,CHI,9,RB69,0
250,BRANDON BOLDEN,NE,10,RB70,0
251,BRANDON MCMANUS,DEN,4,K15,0
252,MARCEDES LEWIS,JAC,11,TE33,0
253,RONNIE HILLMAN,DEN,4,RB71,0
254,TED GINN,ARI,4,WR91,0
255,PHILADELPHIA EAGLESD/ST,,7,DEF18,0
256,BENJARVUS GREEN-ELLIS,CIN,4,RB72,0
257,GRAHAM GANO,CAR,12,K16,0
258,JERREL JERNIGAN,NYG,8,WR92,0
259,ROBERT TURBIN,SEA,4,RB73,0
260,MATT CASSEL,MIN,10,QB28,0
261,NATE BURLESON,CLE,4,WR93,0
262,JONATHAN GRIMES,HOU,10,RB74,0
263,MIKE NUGENT,CIN,4,K17,0
264,DETROIT LIONSD/ST,,9,DEF19,0
265,JASON AVANT,CAR,12,WR94,0
266,CHRIS POLK,PHI,7,RB75,0
267,ZACH MILLER,SEA,4,TE34,0
268,DAVANTE ADAMS,GB,9,WR95,0
269,STEPFAN TAYLOR,ARI,4,RB76,0
270,SHAUN SUISHAM,PIT,12,K18,0
271,GREG LITTLE,OAK,5,WR96,0
